title,company,rating,location,descript
Cloud Support Engineer I - Big Data,"Amazon Web Services, Inc.",3.5,Tempe,You will apply advanced troubleshooting techniques to provide tailored solutions for our customers and drive customer interactions by thoughtfully working with…
Senior Applied Scientist,Amazon.com Services LLC,3.5,Tempe,"Working closely with best-in-class engineers you will have the opportunity to apply a variety of machine learning algorithms, including deep learning, and work…"
Sr. Data Scientist,Progress Residential,2.9,Scottsdale,"4+ years of relevant analytical reporting or analytics working experience, preferably some experience in risk management at a financial services firm."
Machine Learning Engineer,"DriveTime Automotive Group, Inc.",3.3,Tempe,Demonstrated experience in developing and deploying statistical learning/machine learning techniques with significant business outcomes.
Data Visualization & Research Analyst,Northcentral University,3.3,Scottsdale,"Performs inferential statistics including multivariate and predictive analytics (e.g., psychometrics, forecasting, regression, cluster analysis, factor analysis…"
"Senior Data Scientist, Customer Economics",Carvana,2.7,Tempe,"Strong understanding of statistics, experimental design, and data mining methods.
Our data science and analytics team automates everything Carvana does from…"
Sr. Customer Data Engineer,"Insight Enterprises, Inc.",3.6,Tempe,"Designing and planning for solutions in the various engineering subject areas as it relates to data storage and movement solutions: data warehousing, enterprise…"
Senior Data Analyst,"AskReply, Inc.",,Phoenix,"Defines project data requirements by identifying project milestones, scope, and data elements needed to implement data from one system to the other successfully…"
"Analyst - Analytics and Data Science (healthcare analytics,...",Blue Cross Blue Shield of Arizona,3.7,Phoenix,"Participate in leading overall strategic direction and execution of data, analytical and reporting capabilities, tools, outputs, insights and business/clinical…"
Cloud Support Engineer I - Big Data,"Amazon Web Services, Inc.",3.5,Tempe,You will apply advanced troubleshooting techniques to provide tailored solutions for our customers and drive customer interactions by thoughtfully working with…
Senior Data Scientist - Nationwide Opportunities,"Amazon Web Services, Inc.",3.5,Tempe,Experience in an ML engineer or data scientist role building and deploying ML models or hands on experience developing deep learning models.
"Head of Sales & Business Development - AI, Data Science",Xen.ai,,Phoenix,"Xen.AI is looking for Head of Sales & Business Development - AI & Machine Learning solutions, who can bring in AI, Machine Learning, Deep Learning and Data…"
"Head of AI, Machine Learning, Data Science projects delivery...",Xen.ai,,Phoenix,"10+ years of proven hands-on, technology leadership and project delivery experience in various industries.
After 1st year, based on company's progress we can…"
Lead Data Scientist,Discount Tire Corporate Careers,3.9,Scottsdale,"Consistently collaborates with fellow data scientists and frequently interacts with business partners, project managers, cross-functional teams, key…"
Senior Business Data Analyst,BioCare,,Tempe,"Advises on latest tools, frameworks and mechanisms for data analytics.
With knowledge of structured and unstructured data from ERP and other systems, creates…"
Data & Analytics Associate Director,Skin Health Group,,Phoenix,"7+ years experience in CPG (Consumer Products Goods), banking/finance, insurance, media agencies, ecommerce firms or other relevant data analytics experience."
